Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
GAM,Gambia,1967,8,0,8,8
GAM,Gambia,1968,8,0,8,8
GAM,Gambia,1969,8,0,8,8
GAM,Gambia,1970,8,0,8,8
GAM,Gambia,1971,8,0,8,8
GAM,Gambia,1972,8,0,8,8
GAM,Gambia,1973,8,0,8,8
GAM,Gambia,1974,8,0,8,8
GAM,Gambia,1975,8,0,8,8
GAM,Gambia,1976,8,0,8,8
GAM,Gambia,1977,8,0,8,8
GAM,Gambia,1978,8,0,8,8
GAM,Gambia,1979,8,0,8,8
GAM,Gambia,1980,8,0,8,8
GAM,Gambia,1981,7,0,7,7
GAM,Gambia,1982,7,0,7,7
GAM,Gambia,1983,7,0,7,7
GAM,Gambia,1984,7,0,7,7
GAM,Gambia,1985,7,0,7,7
GAM,Gambia,1986,7,0,7,7
GAM,Gambia,1987,7,0,7,7
GAM,Gambia,1988,7,0,7,7
GAM,Gambia,1989,7,0,7,7
GAM,Gambia,1990,8,0,8,8
GAM,Gambia,1991,8,0,8,8
GAM,Gambia,1992,8,0,8,8
GAM,Gambia,1993,8,0,8,8
GAM,Gambia,1994,0,7,-7,-7
GAM,Gambia,1995,0,7,-7,-7
GAM,Gambia,1996,0,6,-6,-6
GAM,Gambia,1997,0,5,-5,-5
GAM,Gambia,1998,0,5,-5,-5
GAM,Gambia,1999,0,5,-5,-5
GAM,Gambia,2000,0,5,-5,-5
GAM,Gambia,2001,0,5,-5,-5
GAM,Gambia,2002,0,5,-5,-5
GAM,Gambia,2003,0,5,-5,-5
GAM,Gambia,2004,0,5,-5,-5
GAM,Gambia,2005,0,5,-5,-5
GAM,Gambia,2006,0,5,-5,-5
GAM,Gambia,2007,0,5,-5,-5
GAM,Gambia,2008,0,5,-5,-5
GAM,Gambia,2009,0,5,-5,-5
GAM,Gambia,2010,0,5,-5,-5
MLI,Mali,1960,0,7,-7,-7
MLI,Mali,1961,0,7,-7,-7
MLI,Mali,1962,0,7,-7,-7
MLI,Mali,1963,0,7,-7,-7
MLI,Mali,1964,0,7,-7,-7
MLI,Mali,1965,0,7,-7,-7
MLI,Mali,1966,0,7,-7,-7
MLI,Mali,1967,0,7,-7,-7
MLI,Mali,1968,0,7,-7,-7
